,number_of_vehicle_parked,power_demand
2017-07-28 06:09:00,17241.0,0.00830288177123
2017-07-28 06:10:00,17225.0,0.0063
2017-07-28 06:11:00,17222.0,0.0063
2017-07-28 06:12:00,17225.0,0.0063
2017-07-28 06:13:00,17222.0,0.0063
2017-07-28 06:14:00,17221.0,0.0063
2017-07-28 06:15:00,17106.0,0.0063
2017-07-28 06:16:00,17105.0,0.0063
2017-07-28 06:17:00,17100.0,0.0063
2017-07-28 06:18:00,17106.0,0.0063
2017-07-28 06:19:00,17107.0,0.0063
2017-07-28 06:20:00,17097.0,0.0
2017-07-28 06:21:00,17100.0,0.0
2017-07-28 06:22:00,17101.0,0.0
2017-07-28 06:23:00,17101.0,0.0
2017-07-28 06:24:00,17102.0,0.0
2017-07-28 06:25:00,17091.0,0.0
2017-07-28 06:26:00,17091.0,0.0
2017-07-28 06:27:00,17089.0,0.0
2017-07-28 06:28:00,17091.0,0.0
2017-07-28 06:29:00,17089.0,0.0063
2017-07-28 06:30:00,16809.0,0.0189
2017-07-28 06:31:00,16810.0,0.0189
2017-07-28 06:32:00,16811.0,0.0189
2017-07-28 06:33:00,16807.0,0.0189
2017-07-28 06:34:00,16809.0,0.0189
2017-07-28 06:35:00,16810.0,0.0189
2017-07-28 06:36:00,16809.0,0.0189
2017-07-28 06:37:00,16808.0,0.0189
2017-07-28 06:38:00,16803.0,0.0189
2017-07-28 06:39:00,16804.0,0.0126
2017-07-28 06:40:00,16773.0,0.00616372520515
2017-07-28 06:41:00,16765.0,0.00616372520515
2017-07-28 06:42:00,16773.0,0.00616372520515
2017-07-28 06:43:00,16778.0,0.00616372520515
2017-07-28 06:44:00,16778.0,0.00616372520515
2017-07-28 06:45:00,16650.0,0.00616372520515
2017-07-28 06:46:00,16640.0,0.00616372520515
2017-07-28 06:47:00,16646.0,0.00616372520515
2017-07-28 06:48:00,16653.0,0.00616372520515
2017-07-28 06:49:00,16656.0,0.00616372520515
2017-07-28 06:50:00,16686.0,0.0
2017-07-28 06:51:00,16689.0,0.0
2017-07-28 06:52:00,16694.0,0.0
2017-07-28 06:53:00,16699.0,0.0
2017-07-28 06:54:00,16708.0,0.0
2017-07-28 06:55:00,16740.0,0.00448473718937
2017-07-28 06:56:00,16746.0,0.00448473718937
2017-07-28 06:57:00,16755.0,0.00951256510356
2017-07-28 06:58:00,16765.0,0.00951256510356
2017-07-28 06:59:00,16768.0,0.00951256510356
