1.5mv2g,netload,uncontrolled,Pmax,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown,,,1.5mv1g,netload,uncontrolled,pamx,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown
59,26940789.86,27961667.24,28216886.58,12644596.65,13665474.03,13920693.37,18487098.64,19507976.01,19744726.37,18895306.23,19916183.6,20148991.09,,,,26940789.86,27961667.24,28216886.58,12644596.65,13665474.03,13920693.37,18487098.64,19507976.01,19735604.71,18895306.23,19916183.6,20137572.59
60,26889435.56,27910312.93,28165532.28,12605617.17,13626494.54,13881713.88,18617363.19,19638240.57,19836340.23,19013736.75,20034614.13,20289833.47,,,,26889435.56,27910312.93,28165532.28,12605617.17,13626494.54,13881713.88,18617363.19,19638240.57,19827218.56,19013736.75,20034614.13,20289833.47
61,26848563.81,27869441.19,28124660.53,12405630.5,13426507.88,13681727.22,18630291.18,19651168.55,19906387.9,19245623.19,20266500.56,20497716.79,,,,26848563.81,27869441.19,28124660.53,12405630.5,13426507.88,13681727.22,18630291.18,19651168.55,19906387.9,19245623.19,20266500.56,20469928.32
62,26939714.31,27960591.69,28215811.03,12350773.86,13371651.23,13626870.58,18796877.17,19817754.55,20058786.67,19407452.25,20428329.63,20683548.97,,,,26939714.31,27960591.69,28215811.03,12350773.86,13371651.23,13626870.58,18796877.17,19817754.55,20014464.67,19407452.25,20428329.63,20639390.53
63,27001735.19,28022612.57,28277831.91,12227260.92,13248138.3,13503357.64,18913522.53,19934399.91,20189619.25,19584531.33,20605408.7,20856383.87,,,,27001735.19,28022612.57,28277831.91,12227260.92,13248138.3,13503357.64,18913522.53,19934399.91,20110096.92,19584531.33,20605408.7,20798220.11
64,27074451.11,28095328.48,28350547.83,12253392.38,13274269.75,13529489.1,19064031.95,20084909.32,20340128.67,19732739.69,20753617.07,21007167.63,,,,27074451.11,28095328.48,28350547.83,12253392.38,13274269.75,13529489.1,19064031.95,20084909.32,20193284.66,19732739.69,20753617.07,20946417.05
65,27130731.74,28151609.12,28406828.46,12210955.77,13231833.15,13487052.49,19224379,20245256.37,20500475.72,19882602.41,20903479.79,21135900.26,,,,27130731.74,28151609.12,28406828.46,12210955.77,13231833.15,13487052.49,19224379,20245256.37,20264027.88,19882602.41,20903479.79,21083981.36
66,27238675.99,28259553.36,28514772.71,12102229.77,13123107.14,13378326.49,19417985.97,20438863.34,20642056.84,20016530.84,21037408.22,21242581.74,,,,27238675.99,28259553.36,28514772.71,12102229.77,13123107.14,13378326.49,19417985.97,20438863.34,20322326.59,20016530.84,21037408.22,21210913.04
67,27346549.32,28367426.7,28622646.04,12050825.51,13071702.88,13326922.23,19490467.3,20511344.67,20762071.78,20051115.36,21071992.74,21327212.08,,,,27346549.32,28367426.7,28622646.04,12050825.51,13071702.88,13326922.23,19490467.3,20511344.67,20368180.77,20051115.36,21071992.74,21327212.08
68,27475003.13,28495880.5,28751099.84,11899912.18,12920789.56,13176008.9,19660255.41,20681132.79,20860520.54,20172090.58,21192967.95,21448187.3,,,,27475003.13,28495880.5,28751099.84,11899912.18,12920789.56,13176008.9,19660255.41,20681132.79,20401590.45,20172090.58,21192967.95,21448187.3
69,27571241.71,28592119.08,28847338.43,11856966.2,12877843.58,13133062.92,19789334.45,20810211.83,20937403.11,20297483.05,21318360.43,21573579.77,,,,27571241.71,28592119.08,28847338.43,11856966.2,12877843.58,13133062.92,19789334.45,20810211.83,20422555.61,20297483.05,21318360.43,21573579.77
70,27793379.3,28814256.68,29069476.02,11853627.64,12874505.02,13129724.36,19877120.2,20897997.58,20992719.5,20442463.55,21463340.92,21711068.89,,,,27793379.3,28814256.68,29069476.02,11853627.64,12874505.02,13129724.36,19877120.2,20897997.58,20431076.25,20442463.55,21463340.92,21693028.1
71,27995236.29,29016113.67,29271333.01,11745252.68,12766130.06,13021349.4,20004133.85,21025011.22,21026469.71,20589528.53,21610405.91,21826506.86,,,,27995236.29,29016113.67,29271333.01,11745252.68,12766130.06,13021349.4,20004133.85,21025011.22,20427152.37,20589528.53,21610405.91,21801843.8
72,28219526.52,29240403.89,29495623.23,11711748.03,12732625.4,12987844.75,20021008.5,21041885.88,21038653.73,20723559.45,21744436.83,21919893.7,,,,28219526.52,29240403.89,29495623.23,11711748.03,12732625.4,12987844.75,20021008.5,21041885.88,20410783.98,20723559.45,21744436.83,21900026.87
