1.5m,netload,uncontrolled,150v2g,125v2g,150v1g,125v1g,,0.8m,unontrolled,150v2g,125v2g,150v1g,125v1g,,0.2m,uncontrolled,150v2g,125v2g,150v1g,125v1g
74,18368466.68,19389344.05,19899782.74,19644563.4,19899782.74,19644563.4,,,18912934.61,19185168.58,19049051.6,19185168.58,19185168.58,,,18504583.66,18572642.15,18538612.91,18572642.15,18538612.91
75,18325246.7,19346124.08,19856562.77,19601343.42,19856562.77,19601343.42,,,18869714.64,19141948.6,19005831.62,19141948.6,19141948.6,,,18461363.69,18529422.18,18495392.93,18529422.18,18495392.93
76,18264458.83,19285336.21,19795774.9,19540555.55,19795774.9,19540555.55,,,18808926.77,19081160.73,18945043.75,19081160.73,19081160.73,,,18400575.82,18468634.31,18434605.06,18468634.31,18434605.06
77,18045550.53,19066427.91,19576866.6,19321647.25,19576866.6,19321647.25,,,18590018.47,18862252.43,18726135.45,18862252.43,18862252.43,,,18181667.52,18249726.01,18215696.76,18249726.01,18215696.76
78,17920034.13,18940911.51,19451350.19,19196130.85,19451350.19,19196130.85,,,18464502.06,18736736.03,18600619.05,18736736.03,18736736.03,,,18056151.11,18124209.61,18090180.36,18124209.61,18090180.36
79,17755848.74,18776726.11,19287164.8,19031945.46,19287164.8,19031945.46,,,18300316.67,18572550.64,18436433.66,18572550.64,18572550.64,,,17891965.72,17960024.21,17925994.97,17960024.21,17925994.97
80,17503860.94,18524738.32,19035177.01,18779957.66,19035177.01,18779957.66,,,18048328.88,18320562.84,18184445.86,18320562.84,18320562.84,,,17639977.93,17708036.42,17674007.17,17708036.42,17674007.17
81,17406393.45,18427270.83,18937709.52,18682490.17,18937709.52,18682490.17,,,17950861.39,18223095.36,18086978.37,18223095.36,18223095.36,,,17542510.44,17610568.93,17576539.68,17610568.93,17576539.68
82,17312332.9,18333210.28,18843648.97,18588429.62,18843648.97,18588429.62,,,17856800.84,18129034.8,17992917.82,18129034.8,18129034.8,,,17448449.89,17516508.38,17482479.13,17516508.38,17482479.13
83,17142117.79,18162995.17,18673433.86,18418214.51,18673433.86,18418214.51,,,17686585.73,17958819.69,17822702.71,17958819.69,17958819.69,,,17278234.78,17346293.27,17312264.02,17346293.27,17312264.02
84,16897876.54,17918753.91,18429192.6,18173973.26,18429192.6,18173973.26,,,17442344.47,17714578.44,17578461.45,17714578.44,17714578.44,,,17033993.52,17102052.01,17068022.77,17102052.01,17068022.77
85,16641258.74,17662136.11,18172574.8,17917355.46,18172574.8,17917355.46,,,17185726.67,17457960.64,17321843.65,17457960.64,17457960.64,,,16777375.72,16845434.21,16811404.97,16845434.21,16811404.97
86,16427810.4,17448687.77,17959126.46,17703907.12,17959126.46,17703907.12,,,16972278.33,17244512.3,17108395.31,17244512.3,17244512.3,,,16563927.38,16631985.87,16597956.63,16631985.87,16597956.63
87,16213674.01,17234551.39,17744990.08,17489770.73,17744990.08,17489770.73,,,16758141.95,17030375.91,16894258.93,17030375.91,17030375.91,,,16349791,16417849.49,16383820.24,16417849.49,16383820.24
88,16131347.66,17152225.03,17662663.72,17407444.38,17662663.72,17407444.38,,,16675815.59,16948049.56,16811932.57,16948049.56,16948049.56,,,16267464.64,16335523.13,16301493.89,16335523.13,16301493.89
89,16055526.13,17076403.51,17586842.2,17331622.85,17586842.2,17331622.85,,,16599994.07,16872228.03,16736111.05,16872228.03,16872228.03,,,16191643.12,16259701.61,16225672.36,16259701.61,16225672.36
90,15901399.93,16922277.31,17432715.99,17177496.65,17432715.99,17177496.65,,,16445867.86,16718101.83,16581984.85,16718101.83,16718101.83,,,16037516.91,16105575.41,16071546.16,16105575.41,16071546.16
91,15765140.36,16786017.74,17296456.42,17041237.08,17296456.42,17041237.08,,,16309608.29,16581842.26,16445725.28,16581842.26,16581842.26,,,15901257.34,15969315.83,15935286.59,15969315.83,15935286.59
92,15758766.89,16779644.27,17290082.96,17034863.61,17290082.96,17034863.61,,,16303234.83,16575468.79,16439351.81,16575468.79,16575468.79,,,15894883.88,15962942.37,15928913.12,15962942.37,15928913.12
93,15556397,16577274.37,17087713.06,16832493.72,17087713.06,16832493.72,,,16100864.93,16373098.9,16236981.92,16373098.9,16373098.9,,,15692513.98,15760572.47,15726543.23,15760572.47,15726543.23
94,15476268.13,16497145.51,17007584.19,16752364.85,17007584.19,16752364.85,,,16020736.06,16292970.03,16156853.05,16292970.03,16292970.03,,,15612385.11,15680443.61,15646414.36,15680443.61,15646414.36
95,15394011.05,16414888.43,16925327.12,16670107.77,16925327.12,16670107.77,,,15938478.99,16210712.96,16074595.97,16210712.96,16210712.96,,,15530128.04,15598186.53,15564157.28,15598186.53,15564157.28
96,15122906.77,16143784.14,16654222.83,16399003.49,16654222.83,16399003.49,,,15667374.7,15939608.67,15803491.68,15939608.67,15939608.67,,,15259023.75,15327082.24,15293053,15327082.24,15293053
97,15016871.18,16037748.56,16548187.25,16292967.9,16548187.25,16292967.9,,,15561339.12,15833573.08,15697456.1,15833573.08,15833573.08,,,15152988.17,15221046.66,15187017.41,15221046.66,15187017.41
98,14952399.4,15973276.77,16483715.46,16228496.12,16483715.46,16228496.12,,,15496867.33,15769101.3,15632984.31,15769101.3,15769101.3,,,15088516.38,15156574.87,15122545.63,15156574.87,15122545.63
99,14697338.08,15718215.46,16228654.14,15973434.8,16228654.14,15973434.8,,,15241806.01,15514039.98,15377923,15514039.98,15514039.98,,,14833455.06,14901513.55,14867484.31,14901513.55,14867484.31
100,14573163.39,15594040.76,16104479.45,15849260.11,16104479.45,15849260.11,,,15117631.32,15389865.29,15253748.31,15389865.29,15389865.29,,,14709280.37,14777338.86,14743309.62,14777338.86,14743309.62
101,14506877.25,15527754.62,16038193.31,15782973.96,16038193.31,15782973.96,,,15051345.18,15323579.15,15187462.16,15323579.15,15323579.15,,,14642994.23,14711052.72,14677023.47,14711052.72,14677023.47
102,14299683.63,15320561.01,15830999.69,15575780.35,15830999.69,15575780.35,,,14844151.56,15116385.53,14980268.55,15116385.53,15116385.53,,,14435800.61,14503859.11,14469829.86,14503859.11,14469829.86
